Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,1.50018325000002,-0.140375390648842,0.0646246093511581,0,0,0,0,0.0219878423959017
1,1,Open Circuit Potential,3.00033471,-0.140614345669746,0.0643856543302536,0,0,0,0,0.0214490164071321
1,1,Open Circuit Potential,4.50048318,-0.140881538391113,0.0641184616088867,0,0,0,0,0.0208837706595659
1,1,Open Circuit Potential,6.00063404000002,-0.141113877296448,0.0638861227035522,0,0,0,0,0.0203715730458498
1,1,Open Circuit Potential,7.50078528,-0.141365692019463,0.0636343079805374,0,0,0,0,0.0198176968842745
1,1,Open Circuit Potential,9.00093363999997,-0.141643241047859,0.0633567589521408,0,0,0,0,0.0192706752568483
1,1,Open Circuit Potential,10.50108463,-0.141898214817047,0.0631017851829529,0,0,0,0,0.0187864322215319
1,1,Open Circuit Potential,12.00123314,-0.142132967710495,0.062867032289505,0,0,0,0,0.0183027405291796
1,1,Open Circuit Potential,13.50138429,-0.142393007874489,0.0626069921255112,0,0,0,0,0.0177406240254641
1,1,Open Circuit Potential,15.00153522,-0.142645075917244,0.062354924082756,0,0,0,0,0.0172713864594698
1,1,Open Circuit Potential,16.50168369,-0.14287705719471,0.0621229428052902,0,0,0,0,0.016735078766942
1,1,Open Circuit Potential,18.00183471,-0.143136039376259,0.0618639606237411,0,0,0,0,0.0161872375756502
1,1,Open Circuit Potential,19.5019831,-0.14338544011116,0.0616145598888397,0,0,0,0,0.0157173592597246
1,1,Open Circuit Potential,21.00213444,-0.143607959151268,0.061392040848732,0,0,0,0,0.0152640957385302
1,1,Open Circuit Potential,22.50228541,-0.143880307674408,0.061119692325592,0,0,0,0,0.0147210974246264
1,1,Open Circuit Potential,24.00243359,-0.144106507301331,0.0608934926986694,0,0,0,0,0.0142909754067659
1,1,Open Circuit Potential,25.50258483,-0.144347637891769,0.0606523621082306,0,0,0,0,0.0138410497456789
1,1,Open Circuit Potential,27.00273328,-0.144608557224274,0.0603914427757263,0,0,0,0,0.0134033281356096
1,1,Open Circuit Potential,28.50288432,-0.144828036427498,0.0601719635725021,0,0,0,0,0.0130132455378771
1,1,Open Circuit Potential,30.00303542,-0.145060509443283,0.0599394905567169,0,0,0,0,0.0125568676739931
1,1,Open Circuit Potential,31.50318364,-0.145330131053925,0.0596698689460754,0,0,0,0,0.0120997000485659
1,1,Open Circuit Potential,33.00333493,-0.145546972751617,0.0594530272483826,0,0,0,0,0.0116830188781023
1,1,Open Circuit Potential,34.5034837,-0.145790934562683,0.0592090654373169,0,0,0,0,0.011260898783803
1,1,Open Circuit Potential,36.0036345,-0.146040871739388,0.0589591282606125,0,0,0,0,0.010853098705411
1,1,Open Circuit Potential,37.50378557,-0.146255537867546,0.0587444621324539,0,0,0,0,0.0104566533118486
1,1,Open Circuit Potential,39.00393405,-0.146507158875465,0.0584928411245346,0,0,0,0,0.00999945588409901
1,1,Open Circuit Potential,40.50408512,-0.14674973487854,0.0582502651214599,0,0,0,0,0.00963933952152729
